"","gameId","playId","return_x","return_s","return_a","return_zone","def1_dist","def1_s","def1_a","def1_zone","def2_dist","def2_s","def2_a","def2_zone","def3_dist","def3_s","def3_a","def3_zone","def4_dist","def4_s","def4_a","def4_zone","def5_dist","def5_s","def5_a","def5_zone","def6_dist","def6_s","def6_a","def6_zone","def7_dist","def7_s","def7_a","def7_zone","def8_dist","def8_s","def8_a","def8_zone","def9_dist","def9_s","def9_a","def9_zone","def10_dist","def10_s","def10_a","def10_zone","def11_dist","def11_s","def11_a","def11_zone","playDirection","returnDirectionIntended","returnDirectionActual","quarter","yardlineTotal","receiveTeamScoreDif","kickLength","kickReturnYardage","receiveTeamHome"
"1",2020122712,4081,33.73,1.92,2.03,5,14.9914642380256,7.23,2.24,8,23.1042550193682,7.4,2.06,8,23.1983189046103,8.67,2.52,8,23.3320573460636,5.97,1.64,8,26.2738843721289,8.99,3.03,7,31.6120261925742,8.8,1.09,8,33.0243016580215,8.99,2.13,8,34.4741642393257,7.41,2.22,7,35.0920575059372,9.27,2.71,7,38.9305240139405,5.8,1.61,11,56.344348429989,4.86,0.77,11,"left","C","C",4,20,-13,56,15,0
"2",2018112200,133,24.89,1.33,5.5,5,4.06964371904961,7.64,5.11,4,19.0519946462306,7.7,3.47,5,21.0481543133834,8.57,2.07,5,26.1380431555233,9.41,1.05,8,30.5222427092113,9.1,0.99,8,31.1615692801245,6.89,0.98,8,35.2974687477728,6.82,0.93,8,36.8367045214417,7.35,1.51,7,38.8367519239187,8.04,2.62,9,39.3264287725189,9.01,1.57,7,52.7070564535718,4.41,0.47,11,"right","C","C",1,33,0,53,14,0
"3",2018093007,3113,34.63,3.54,2,6,2.30097805291575,6.06,3.99,6,7.36505940234022,9.04,1.75,6,7.92896588465356,9.59,2.73,6,9.7404825342485,7.06,1.83,6,14.620167577699,8.24,1.77,9,17.1380074687812,8.09,1.36,8,19.8640001006847,4.77,3.86,5,21.0741666501905,6.8,2.48,8,30.8382230357068,8.87,1,9,36.3795546976595,5.71,1.26,9,36.8965431985166,5.42,2.03,8,"left","L","L",4,29,-4,46,0,1
"4",2020102513,636,32.7,3.35,3.33,5,10.4447738127735,8.49,2.59,5,12.3104914605389,5.42,3.11,5,13.506950062838,8.5,2.44,5,17.5674471679866,8.28,1.31,8,17.6281054001841,7.32,3.58,8,18.7370461919695,8.71,1.08,6,19.681346498652,8.08,2.4,8,19.892320126119,8.38,1.3,8,22.2037046458468,6.17,1.87,8,28.0949959957285,8.35,1.69,9,40.5353401367251,5.41,0.66,11,"left","R","R",1,38,3,39,6,1
"5",2019102704,1142,25.08,1.85,0.94,6,2.21108570616338,6.9,4.29,6,10.1521426309918,8.87,2.39,5,30.4552688380845,9.14,1.54,9,30.8422729382904,8.38,0.74,8,31.6313894731167,8.38,1.89,8,34.5831707626701,7.78,1.75,8,35.532296576495,6.64,2.59,8,36.1414291361036,8.23,1.39,9,39.4891605380515,2.69,2.85,9,46.3401337935056,6.81,0.82,8,53.1990009304686,4.67,0.08,11,"right","","",1,31,0,54,0,1
"6",2019111100,904,33.87,2.22,0.22,4,5.40318424634956,5.65,3.43,4,8.74410086858563,7.26,1.16,5,9.19380769866327,8.4,3.2,4,10.898486133404,4.9,3.27,4,13.9031219515618,8.83,2.32,5,17.8047100509949,5.92,3.92,7,19.8609189112689,8.07,2.41,8,23.187705794235,8.31,2.05,8,24.8614983458359,5.78,2.95,7,33.1996400582898,5.81,1.06,7,38.6359379334836,5.83,0.66,8,"left","","",1,33,10,43,2,1
"7",2019111704,321,53.59,1.45,1.99,8,7.91728488814189,8.9,2.45,8,8.9618301702275,8.02,3.25,8,12.0237473360014,5.09,2.36,8,15.6823722695261,9.01,1.69,8,16.860800692731,8.12,1.73,8,18.1773292867792,7.95,1.67,8,22.2131942772758,6.85,0.33,11,25.8950226877676,5.33,3.36,11,26.4486294540946,4.26,3.53,7,28.5169703860701,5.47,1.46,10,38.355527632924,5.98,1.35,11,"right","L","C",1,11,3,45,14,0
"8",2019100611,191,36.41,3.52,1.42,5,1.32018938035419,8.32,4.68,5,8.64613786612265,5.71,2.66,5,9.83939530662327,7.93,2.57,5,14.4601694319258,6.65,3.83,8,17.748546419355,8.37,3.04,8,21.0225830953287,7.05,3.33,8,22.2039500990252,8.92,2.08,8,24.7350277946074,8,2.52,7,28.8830538551587,7.13,3.64,9,47.6040943617248,4.71,0.53,11,50.1684572216448,3.78,0.89,11,"right","","",1,26,0,48,-1,1
"9",2018120911,322,41.38,0.99,4.43,4,8.43827589025151,4.64,3.69,7,11.4107405544075,8.26,3.31,7,11.4372898887805,9.07,1.88,7,15.2315462117278,8.93,1.62,7,17.777182003906,9.22,1.68,7,17.9481753947302,7.73,2.04,7,20.9600405533959,8.5,2.72,8,22.9929402208591,7.5,1.83,7,24.6280531102237,8.84,1.31,8,31.0892425124833,5.8,0.69,7,44.0840674166983,4.2,0.48,11,"left","R","R",1,24,0,45,4,0
"10",2020092003,1265,43.23,2.52,1.17,5,8.3929732514765,9.49,0.77,4,22.9328083757746,8.95,1.18,8,24.0691773851954,7.74,2.19,8,27.6362551732321,8.26,1.06,8,27.8796628387074,9.16,1.62,8,28.1489342604653,8.59,0.9,8,29.559150867371,8.34,0.7,8,30.8158417052009,7.27,1.27,11,31.3066462592211,9.16,2.33,9,31.3707666466728,7.46,1.79,11,46.5300601761915,5.79,0.84,11,"right","C","C",2,22,4,46,2,1
