"","gameId","playId","off2_dist","off2_s","off2_a","off3_dist","off3_s","off3_a","off4_dist","off4_s","off4_a","off5_dist","off5_s","off5_a","off6_dist","off6_s","off6_a","off7_dist","off7_s","off7_a","off8_dist","off8_s","off8_a","off9_dist","off9_s","off9_a","off10_dist","off10_s","off10_a","off11_dist","off11_s","off11_a","return_x","return_s","return_a","return_zone","def1_dist","def1_s","def1_a","def2_dist","def2_s","def2_a","def3_dist","def3_s","def3_a","def4_dist","def4_s","def4_a","def5_dist","def5_s","def5_a","def6_dist","def6_s","def6_a","def7_dist","def7_s","def7_a","def8_dist","def8_s","def8_a","def9_dist","def9_s","def9_a","def10_dist","def10_s","def10_a","def11_dist","def11_s","def11_a","def1_zone","def2_zone","def3_zone","def4_zone","def5_zone","def6_zone","def7_zone","def8_zone","def9_zone","def10_zone","def11_zone","def1_side","def2_side","def3_side","def4_side","def5_side","def6_side","def7_side","def8_side","def9_side","def10_side","def11_side","playDirection","returnDirectionIntended","returnDirectionActual","quarter","yardlineTotal","receiveTeamScoreDif","kickLength","kickReturnYardage","receiveTeamHome"
"1","2020122712","4081",14.9974131102667,6.28,2.42,16.1759327397217,6.14,3.33,18.3828316643547,4.37,3.89,20.0110369546408,4.71,2.92,22.6437121515002,6.22,1.78,22.9253942168941,4.63,1.55,23.9340510570192,6.75,2.06,33.3815757566955,8.61,1.92,35.8715277065251,6.21,0.99,36.6302839191836,9.38,1.52,33.73,1.92,2.03,"5",14.9914642380256,7.23,2.24,23.1042550193682,7.4,2.06,23.1983189046103,8.67,2.52,23.3320573460636,5.97,1.64,26.2738843721289,8.99,3.03,31.6120261925742,8.8,1.09,33.0243016580215,8.99,2.13,34.4741642393257,7.41,2.22,35.0920575059372,9.27,2.71,38.9305240139405,5.8,1.61,56.344348429989,4.86,0.77,"8","8","8","8","7","8","8","7","7","11","11","C","C","C","C","L","C","C","L","L","C","C","left","C","C",4,20,-13,56,15,0
"2","2018112200","133",4.95025251881154,7.26,3.33,19.261256449152,8.22,4.09,23.3544792277627,8.72,1.09,24.7049974701476,8.05,1.45,30.2339709598326,8.27,0.79,31.3245367084655,5.81,2.42,32.7847678045766,7.6,0.39,36.0743953518281,7.08,0.48,39.7012468318062,7.98,2.29,39.7453116732024,8.5,1.9,24.89,1.33,5.5,"5",4.06964371904961,7.64,5.11,19.0519946462306,7.7,3.47,21.0481543133834,8.57,2.07,26.1380431555233,9.41,1.05,30.5222427092113,9.1,0.99,31.1615692801245,6.89,0.98,35.2974687477728,6.82,0.93,36.8367045214417,7.35,1.51,38.8367519239187,8.04,2.62,39.3264287725189,9.01,1.57,52.7070564535718,4.41,0.47,"4","5","5","8","8","8","8","7","9","7","11","L","C","C","C","C","C","C","L","R","L","C","right","C","C",1,33,0,53,14,0
"3","2018093007","3113",8.63602918012671,4.79,2.91,9.77999999999999,7.26,1.12,11.0043673148437,5.31,2.11,13.5006073937434,2.44,2.39,17.0236130125188,7.59,2.19,17.6377833074341,8.23,1.54,18.4731697334269,3.97,2.77,22.1861601003869,6.7,1.1,35.646633782168,6.05,1.38,36.4475856539223,5.45,2.04,34.63,3.54,2,"6",2.30097805291575,6.06,3.99,7.36505940234022,9.04,1.75,7.92896588465356,9.59,2.73,9.7404825342485,7.06,1.83,14.620167577699,8.24,1.77,17.1380074687812,8.09,1.36,19.8640001006847,4.77,3.86,21.0741666501905,6.8,2.48,30.8382230357068,8.87,1,36.3795546976595,5.71,1.26,36.8965431985166,5.42,2.03,"6","6","6","6","9","8","5","8","9","9","8","R","R","R","R","R","C","C","C","R","R","C","left","L","L",4,29,-4,46,0,1
"4","2020102513","636",7.06467975211899,6.89,2.83,11.7622489346213,5.72,2.96,12.063983587522,5.76,4.11,17.2620740352948,6.81,2.34,18.2162372623986,7.81,0.33,18.5544738540332,8.52,3.58,20.0024998437695,7.93,1.67,21.2829062865014,6.47,1.66,21.6593744138652,6.42,1.03,28.4701826478159,7.97,0.53,32.7,3.35,3.33,"5",10.4447738127735,8.49,2.59,12.3104914605389,5.42,3.11,13.506950062838,8.5,2.44,17.5674471679866,8.28,1.31,17.6281054001841,7.32,3.58,18.7370461919695,8.71,1.08,19.681346498652,8.08,2.4,19.892320126119,8.38,1.3,22.2037046458468,6.17,1.87,28.0949959957285,8.35,1.69,40.5353401367251,5.41,0.66,"5","5","5","8","8","6","8","8","8","9","11","C","C","C","C","C","R","C","C","C","R","C","left","R","R",1,38,3,39,6,1
"5","2019102704","1142",9.56123945940065,6.93,3.43,12.0523898045159,6.32,4.5,29.6095001646431,7.23,1.98,30.8749105261861,7.19,3.17,32.0269417834423,5.36,2.22,36.4005329631312,8.2,0.41,37.8926721148034,3.95,3.61,38.2006518268995,5.66,1.24,45.3869805120367,6.17,2.48,50.0734760127555,3.31,1.88,25.08,1.85,0.94,"6",2.21108570616338,6.9,4.29,10.1521426309918,8.87,2.39,30.4552688380845,9.14,1.54,30.8422729382904,8.38,0.74,31.6313894731167,8.38,1.89,34.5831707626701,7.78,1.75,35.532296576495,6.64,2.59,36.1414291361036,8.23,1.39,39.4891605380515,2.69,2.85,46.3401337935056,6.81,0.82,53.1990009304686,4.67,0.08,"6","5","9","8","8","8","8","9","9","8","11","R","C","R","C","C","C","C","R","R","C","C","right","","",1,31,0,54,0,1
"6","2019111100","904",5.46014651818062,5.55,3.96,8.52828235930308,6.18,2.79,10.4308101315286,4.68,2.44,10.838247090743,8.08,1.71,15.9385068309425,8.37,1.69,17.7147537380569,6.28,3.49,21.0478336177384,8.9,1.3,23.4649099721265,7.07,2.45,24.4496298540489,6.35,1.81,39.2501031845778,0.99,1.42,33.87,2.22,0.22,"4",5.40318424634956,5.65,3.43,8.74410086858563,7.26,1.16,9.19380769866327,8.4,3.2,10.898486133404,4.9,3.27,13.9031219515618,8.83,2.32,17.8047100509949,5.92,3.92,19.8609189112689,8.07,2.41,23.187705794235,8.31,2.05,24.8614983458359,5.78,2.95,33.1996400582898,5.81,1.06,38.6359379334836,5.83,0.66,"4","5","4","4","5","7","8","8","7","7","8","L","C","L","L","C","L","C","C","L","L","C","left","","",1,33,10,43,2,1
"7","2019111704","321",10.7671816182323,5.96,3.49,11.5043817739155,4.6,2.63,11.7669239820779,6.86,4.34,17.0290164131696,8.83,2.03,17.0987163260872,7.68,2.15,20.8731789624868,5.59,2.17,24.6808103594675,4.39,4.7,25.5755058600998,4.34,2.7,26.0621756574542,3.67,4.09,27.8242520115097,4.9,1.18,53.59,1.45,1.99,"8",7.91728488814189,8.9,2.45,8.9618301702275,8.02,3.25,12.0237473360014,5.09,2.36,15.6823722695261,9.01,1.69,16.860800692731,8.12,1.73,18.1773292867792,7.95,1.67,22.2131942772758,6.85,0.33,25.8950226877676,5.33,3.36,26.4486294540946,4.26,3.53,28.5169703860701,5.47,1.46,38.355527632924,5.98,1.35,"8","8","8","8","8","8","11","11","7","10","11","C","C","C","C","C","C","C","C","L","L","C","right","L","C",1,11,3,45,14,0
"8","2019100611","191",4.67680446458904,5.25,3.83,8.48033607824596,5.39,2.2,13.7469742125313,4.53,3.88,13.8403612669612,3.29,1.3,17.7865398546204,8.47,3.3,21.8248871703842,8.3,3.25,24.1418826937752,7.95,1.98,28.5145524250338,7.69,3.06,34.4610925537772,5.48,1.43,40.7163284199349,7.27,0.55,36.41,3.52,1.42,"5",1.32018938035419,8.32,4.68,8.64613786612265,5.71,2.66,9.83939530662327,7.93,2.57,14.4601694319258,6.65,3.83,17.748546419355,8.37,3.04,21.0225830953287,7.05,3.33,22.2039500990252,8.92,2.08,24.7350277946074,8,2.52,28.8830538551587,7.13,3.64,47.6040943617248,4.71,0.53,50.1684572216448,3.78,0.89,"5","5","5","8","8","8","8","7","9","11","11","C","C","C","C","C","C","C","L","R","C","C","right","","",1,26,0,48,-1,1
"9","2018120911","322",7.2996506765735,5.19,1.95,7.90230978891615,5.35,3.06,15.9199403265213,9.39,1.82,17.7485210651479,8.27,1.4,19.0046336455087,8.93,1.25,19.5471558033388,6.84,2.11,20.7150428433059,8.69,2.75,21.9265888819944,6.81,2.88,26.1320416347441,7.89,0.92,28.8967627944723,4.7,1.37,41.38,0.99,4.43,"4",8.43827589025151,4.64,3.69,11.4107405544075,8.26,3.31,11.4372898887805,9.07,1.88,15.2315462117278,8.93,1.62,17.777182003906,9.22,1.68,17.9481753947302,7.73,2.04,20.9600405533959,8.5,2.72,22.9929402208591,7.5,1.83,24.6280531102237,8.84,1.31,31.0892425124833,5.8,0.69,44.0840674166983,4.2,0.48,"7","7","7","7","7","7","8","7","8","7","11","L","L","L","L","L","L","C","L","C","L","C","left","R","R",1,24,0,45,4,0
"10","2020092003","1265",8.07371042334316,7.72,3.05,9.03199867139051,9.46,2.36,13.9042511484797,5.72,2.9,28.9082012584664,8.58,0.78,29.6743946863285,7.98,0.11,31.1817077787603,8.07,1.05,31.4235898649406,6.93,1.06,31.8954542215658,8.25,3.73,33.2625991167257,7.46,1.82,33.3672848760579,7.66,2.24,43.23,2.52,1.17,"5",8.3929732514765,9.49,0.77,22.9328083757746,8.95,1.18,24.0691773851954,7.74,2.19,27.6362551732321,8.26,1.06,27.8796628387074,9.16,1.62,28.1489342604653,8.59,0.9,29.559150867371,8.34,0.7,30.8158417052009,7.27,1.27,31.3066462592211,9.16,2.33,31.3707666466728,7.46,1.79,46.5300601761915,5.79,0.84,"4","8","8","8","8","8","8","11","9","11","11","L","C","C","C","C","C","C","C","R","C","C","right","C","C",2,22,4,46,2,1
