,gameId,season,week,homeTeamAbbr,visitorTeamAbbr,playId,quarter,down,yardsToGo,nflId,displayName,Position,collegeName,playDescription,specialTeamsPlayType,playResult,ep,epa,kickReturnYardage,kickType,hangTime,kickLength,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,return_team,weather,surface,wind,a,s,dir,dis,o,x,y,avg_epa
0,2018123000,2018,17,BAL,CLE,2165,2,4,17,31018.0,Sam Koch,P,Nebraska,"(:42) (Punt formation) S.Koch punts 36 yards to CLE 06, Center-M.Cox, downed by BAL-C.Board.",Punt,36,0.3729519247426651,-0.3314170720404945,,A,4.56,36.0,1.0,0.0,0.0,1.0,0.0,CLE,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.0,0.0,268.97,0.0,278.65,65.77,28.85,-0.3314170720404945
1,2018123000,2018,17,BAL,CLE,2502,3,4,14,31018.0,Sam Koch,P,Nebraska,"(12:50) (Punt formation) S.Koch punts 53 yards to CLE 15, Center-M.Cox. A.Callaway to BAL 48 for 37 yards (M.Williams).",Punt,16,-0.9037898387759924,-1.7391672818921506,37.0,N,4.17,53.0,0.0,0.0,0.0,0.0,0.0,CLE,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.0,0.0,191.59,0.0,84.96,28.35,28.21,-1.7391672818921506
2,2018123000,2018,17,BAL,CLE,3106,3,4,2,31018.0,Sam Koch,P,Nebraska,"(3:04) (Punt formation) S.Koch punts 56 yards to CLE 15, Center-M.Cox. A.Callaway ran ob at CLE 23 for 8 yards.",Punt,48,-0.6831727344542742,0.1041322159580886,8.0,A,4.05,56.0,0.0,0.0,0.0,0.0,0.0,CLE,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.0,0.0,55.92,0.0,102.18,26.32,26.57,0.1041322159580886
3,2018123000,2018,17,BAL,CLE,4148,4,4,11,31018.0,Sam Koch,P,Nebraska,"(2:00) (Punt formation) S.Koch punts 51 yards to CLE 25, Center-M.Cox. A.Callaway to CLE 26 for 1 yard (A.Levine Sr.).",Punt,50,-0.8152546375058591,-0.0418358433526009,1.0,A,4.25,51.0,0.0,0.0,0.0,0.0,0.0,CLE,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.01,0.01,31.77,0.01,277.46,99.83,22.31,-0.0418358433526009
4,2018123000,2018,17,BAL,CLE,892,1,4,1,34723.0,Britton Colquitt,P,Tennessee,"(2:55) (Punt formation) B.Colquitt punts 48 yards to BAL 23, Center-C.Hughlett, fair catch by C.Jones.",Punt,48,-0.8254203507676721,-0.2018017070367932,,N,4.38,48.0,0.0,0.0,0.0,0.0,1.0,BAL,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.0,0.0,288.96,0.01,278.03,94.82,29.5,-0.2018017070367932
5,2018123000,2018,17,BAL,CLE,1267,2,4,7,34723.0,Britton Colquitt,P,Tennessee,"(12:32) (Punt formation) B.Colquitt punts 48 yards to end zone, Center-C.Hughlett, Touchback.",Punt,28,-0.3158534576650709,-0.5098880457226187,,A,4.12,48.0,0.0,0.0,0.0,0.0,0.0,BAL,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.03,0.03,108.98,0.0,94.17,48.04,24.39,-0.5098880457226187
6,2018123000,2018,17,BAL,CLE,1976,2,4,10,34723.0,Britton Colquitt,P,Tennessee,"(1:34) B.Colquitt punts 39 yards to CLE 46, Center-C.Hughlett, fair catch by C.Jones.",Punt,39,-1.2664095481159166,-1.328255127707962,,N,4.47,39.0,0.0,0.0,0.0,0.0,1.0,BAL,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.47,0.1,118.64,0.01,112.76,3.27,29.85,-1.328255127707962
7,2018123000,2018,17,BAL,CLE,2975,3,4,11,34723.0,Britton Colquitt,P,Tennessee,"(5:30) (Punt formation) B.Colquitt punts 45 yards to BAL 21, Center-C.Hughlett, fair catch by C.Jones.",Punt,45,-1.2220209445804358,0.2781625231727958,,N,4.22,45.0,0.0,0.0,0.0,0.0,1.0,BAL,"Partly Cloudy Temp: 48° F, Humidity: 59%, Wind: SSW 2 mph",grass,2.0,0.02,0.01,277.52,0.0,271.46,90.17,29.28,0.2781625231727958
8,2018122201,2018,16,LAC,BAL,3009,3,4,6,31018.0,Sam Koch,P,Nebraska,"(1:35) S.Koch punts 39 yards to LAC 12, Center-M.Cox, fair catch by D.King.",Punt,39,-0.39000662881881,-0.0717279834207147,,A,4.27,39.0,1.0,0.0,0.0,0.0,1.0,LAC,"Partly Cloudy Temp: 60° F, Humidity: 89%, Wind: WSW 5 mph",grass,5.0,0.0,0.0,273.32,0.0,282.14,74.83,28.33,-0.0717279834207147
9,2018122201,2018,16,LAC,BAL,3278,4,4,10,31018.0,Sam Koch,P,Nebraska,"(12:32) S.Koch punts 54 yards to LAC 17, Center-M.Cox. D.King to LAC 26 for 9 yards (M.Cox).",Punt,45,-1.252497528679669,-0.0286804060451686,9.0,N,4.39,54.0,0.0,0.0,0.0,0.0,0.0,LAC,"Partly Cloudy Temp: 60° F, Humidity: 89%, Wind: WSW 5 mph",grass,5.0,0.0,0.0,27.21,0.0,89.51,25.09,28.99,-0.0286804060451686
